route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
ZA1,A,A-5044,Malichy,5044,1,15,1,2
A1,A,A-1172,Warszawa Śródmieście WKD,1172,1,12,1,1
A1,A,A-2072,Komorów,2072,1,13,1,1
A1,A,A-1076,Warszawa Śródmieście WKD,1076,1,9,1,1
A1,A,A-4046,Komorów,4046,1,11,1,1
ZA1,A,A-5174,Reguły,5174,0,14,1,2
A1,A,A-4048,Komorów,4048,1,11,1,1
ZA1,A,A-5048,Malichy,5048,1,15,1,2
A1,A,A-1174,Warszawa Śródmieście WKD,1174,1,12,1,1
A1,A,A-2074,Komorów,2074,1,13,1,1
A1,A,A-1078,Warszawa Śródmieście WKD,1078,1,9,1,1
A1,A,A-4050,Komorów,4050,1,11,1,1
ZA1,A,A-5176,Reguły,5176,0,14,1,2
A1,A,A-4052,Komorów,4052,1,11,1,1
ZA1,A,A-5052,Malichy,5052,1,15,1,2
A1,A,A-1176,Warszawa Śródmieście WKD,1176,1,12,1,1
A1,A,A-2076,Komorów,2076,1,13,1,1
A1,A,A-1080,Warszawa Śródmieście WKD,1080,1,9,1,1
A1,A,A-4054,Komorów,4054,1,11,1,1
ZA1,A,A-5178,Reguły,5178,0,14,1,2
A1,A,A-4056,Komorów,4056,1,11,1,1
ZA1,A,A-5556,Pruszków,5556,1,16,1,2
A1,A,A-1178,Warszawa Śródmieście WKD,1178,1,12,1,1
A12,A,A-2350,Podkowa Leśna Zachodnia,2350,1,17,1,1
