,105,5301,301,303,5303,107,305,5305,307,109,309,5307,311,111,313,5309,315,113,317,5311,115,319,5313,117,321,5315,119,323,5317,121,325,5319,123,327,329,5321,125,331,333,5323,127,335,337,5325,129,339,341,5327,131,343,345,5329,133,347,5331,135,349,5333,137,351,5335,139,353,5337,141,143,145,101,103
,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,A1,A1,A1
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
plwsc,5:25,,5:58,6:28,,6:48,7:08,,7:28,7:48,8:08,,8:28,8:48,9:08,,9:28,9:48,10:18,,10:48,11:18,,11:48,12:18,,12:48,13:18,,13:48,14:18,,14:48,15:08,15:28,,15:48,16:08,16:28,,16:48,17:08,17:28,,17:48,18:08,18:28,,18:48,19:08,19:28,,19:48,20:18,,20:48,21:18,,21:48,22:18,,22:48,23:13,,23:48,0:13,0:35,0:57,1:19
plglo,5:27,,6:00,6:30,,6:50,7:10,,7:30,7:50,8:10,,8:30,8:50,9:10,,9:30,9:50,10:20,,10:50,11:20,,11:50,12:20,,12:50,13:20,,13:50,14:20,,14:50,15:10,15:30,,15:50,16:10,16:30,,16:50,17:10,17:30,,17:50,18:10,18:30,,18:50,19:10,19:30,,19:50,20:20,,20:50,21:20,,21:50,22:20,,22:50,23:15,,23:50,0:15,0:37,0:59,1:21
,5:29,5:32,,,6:35,6:52,,7:15,,7:52,,8:15,,8:52,,9:15,,9:52,,10:25,10:52:00,,11:25,11:52:00,,12:25,12:52:00,,13:25,13:52:00,,14:25,14:52:00,,,15:35,15:52:00,,,16:35,16:52:00,,,17:35,17:52:00,,,18:35,18:52:00,,,19:35,19:52:00,,20:25,20:52:00,,21:25,21:52:00,,22:25,22:52:00,,23:20,23:52,0:17,0:39,1:01,1:23
plzac,5:31,,,,,6:54,,,,7:54,,,,8:54,,,,9:54,,,10:54,,,11:54,,,12:54,,,13:54,,,14:54,,,,15:54,,,,16:54,,,,17:54,,,,18:54,,,,19:54,,,20:54,,,21:54,,,22:54,,,23:54,0:19,0:41,1:03,1:25
poles,,5:37,,,6:40,,,7:20,,,,8:20,,,,9:20,,,,10:30,,,11:30,,,12:30,,,13:30,,,14:30,,,,15:40,,,,16:40,,,,17:40,,,,18:40,,,,19:40,,,20:30,,,21:30,,,22:30,,,23:25,,,,,
milgr,,5:39,,,6:42,,,7:22,,,,8:22,,,,9:22,,,,10:32,,,11:32,,,12:32,,,13:32,,,14:32,,,,15:42,,,,16:42,,,,17:42,,,,18:42,,,,19:42,,,20:32,,,21:32,,,22:32,,,23:27,,,,,
kazim,5:34,,,,,6:57,,,,7:57,,,,8:57,,,,9:57,,,10:57,,,11:57,,,12:57,,,13:57,,,14:57,,,,15:57,,,,16:57,,,,17:57,,,,18:57,,,,19:57,,,20:57,,,21:57,,,22:57,,,23:57,0:22,0:44,1:06,1:28
brzoz,5:37,,,,,7:00,,,,8:00,,,,9:00,,,,10:00,,,11:00,,,12:00,,,13:00,,,14:00,,,15:00,,,,16:00,,,,17:00,,,,18:00,,,,19:00,,,,20:00,,,21:00,,,22:00,,,23:00,,,0:00,0:25,0:47,1:09,1:31
gmokr,5:39,,,,,7:02,,,,8:02,,,,9:02,,,,10:02,,,11:02,,,12:02,,,13:02,,,14:02,,,15:02,,,,16:02,,,,17:02,,,,18:02,,,,19:02,,,,20:02,,,21:02,,,22:02,,,23:02,,,0:02,0:27,0:49,1:11,1:33
gmpia,5:41,,,,,7:04,,,,8:04,,,,9:04,,,,10:04,,,11:04,,,12:04,,,13:04,,,14:04,,,15:04,,,,16:04,,,,17:04,,,,18:04,,,,19:04,,,,20:04,,,21:04,,,22:04,,,23:04,,,0:04,0:29,0:51,1:13,1:35
gmjor,5:43,,,,,7:06,,,,8:06,,,,9:06,,,,10:06,,,11:06,,,12:06,,,13:06,,,14:06,,,15:06,,,,16:06,,,,17:06,,,,18:06,,,,19:06,,,,20:06,,,21:06,,,22:06,,,23:06,,,0:06,0:31,0:53,1:15,1:37
gmrad,5:47,,,,,7:10,,,,8:10,,,,9:10,,,,10:10,,,11:10,,,12:10,,,13:10,,,14:10,,,15:10,,,,16:10,,,,17:10,,,,18:10,,,,19:10,,,,20:10,,,21:10,,,22:10,,,23:10,,,0:10,0:35,0:57,1:19,1:41
