,303,5351,105,309,5353,313,109,317,5355,321,111,325,5357,329,115,339,5359,343,117,351,5361,355,119,363,5363,367,121,375,5365,379,123,387,5367,391,125,399,5369,3005,127,3013,5371,3019,129,3025,5373,3031,131,3037,5375,3043,133,3049,5377,3055,135,3061,5379,3067,137,3073,5381,3077,141,3083,5383,3087,147,3095,5385,151,153,3097,155,157,101
,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
,,5:52,6:04,,6:32,,7:04,,7:27,,8:04,,8:27,,9:04,,9:27,,10:04,,10:27,,11:04,,11:27,,12:04,,12:27,,13:04,,13:27,,14:04,,14:27,,15:04,,15:27,,16:04,,16:27,,17:01,,17:27,,18:04,,18:27,,19:04,,19:27,,20:04,,20:27,,21:04,,21:27,,22:04,,22:37,23:04,23:26,,0:20,0:42,1:04
plzac,,,6:06,,,,7:06,,,,8:06,,,,9:06,,,,10:06,,,,11:06,,,,12:06,,,,13:06,,,,14:06,,,,15:06,,,,16:06,,,,17:06,,,,18:06,,,,19:06,,,,20:06,,,,21:06,,,,22:06,,,23:06,23:28,,0:22,0:44,1:06
poles,,5:57,,,6:37,,,,7:32,,,,8:32,,,,9:32,,,,10:32,,,,11:32,,,,12:32,,,,13:32,,,,14:32,,,,15:32,,,,16:32,,,,17:32,,,,18:32,,,,19:32,,,,20:32,,,,21:32,,,,22:42,,,,,,
milgr,,5:59,,,6:39,,,,7:34,,,,8:34,,,,9:34,,,,10:34,,,,11:34,,,,12:34,,,,13:34,,,,14:34,,,,15:34,,,,16:34,,,,17:34,,,,18:34,,,,19:34,,,,20:34,,,,21:34,,,,22:44,,,,,,
kazim,,,6:09,,,,7:09,,,,8:09,,,,9:09,,,,10:09,,,,11:09,,,,12:09,,,,13:09,,,,14:09,,,,15:09,,,,16:09,,,,17:09,,,,18:09,,,,19:09,,,,20:09,,,,21:09,,,,22:09,,,23:09,23:31,,0:25,0:47,1:09
brzoz,,,6:12,,,,7:12,,,,8:12,,,,9:12,,,,10:12,,,,11:12,,,,12:12,,,,13:12,,,,14:12,,,,15:12,,,,16:12,,,,17:12,,,,18:12,,,,19:12,,,,20:12,,,,21:12,,,,22:12,,,23:12,23:34,,0:28,0:50,1:12
gmokr,,,6:14,,,,7:14,,,,8:14,,,,9:14,,,,10:14,,,,11:14,,,,12:14,,,,13:14,,,,14:14,,,,15:14,,,,16:14,,,,17:14,,,,18:14,,,,19:14,,,,20:14,,,,21:14,,,,22:14,,,23:14,23:36,,0:30,0:52,1:14
gmpia,,,6:16,,,,7:16,,,,8:16,,,,9:16,,,,10:16,,,,11:16,,,,12:16,,,,13:16,,,,14:16,,,,15:16,,,,16:16,,,,17:16,,,,18:16,,,,19:16,,,,20:16,,,,21:16,,,,22:16,,,23:16,23:38,,0:32,0:54,1:16
gmjor,,,6:18,,,,7:18,,,,8:18,,,,9:18,,,,10:18,,,,11:18,,,,12:18,,,,13:18,,,,14:18,,,,15:18,,,,16:18,,,,17:18,,,,18:18,,,,19:18,,,,20:18,,,,21:18,,,,22:18,,,23:18,23:40,,0:34,0:56,1:18
gmrad,,,6:23,,,,7:23,,,,8:23,,,,9:23,,,,10:23,,,,11:23,,,,12:23,,,,13:23,,,,14:23,,,,15:23,,,,16:23,,,,17:23,,,,18:23,,,,19:23,,,,20:23,,,,21:23,,,,22:23,,,23:23,23:45,,0:39,1:01,1:23
