,301,5301,107,303,305,5303,109,307,309,5305,111,311,313,5307,3113,5101,315,317,5309,3115,5103,319,321,5311,3117,5105,323,325,5313,3119,5107,327,329,5315,3121,5109,331,333,5317,3123,5111,335,337,5319,125,339,341,5321,127,343,345,5323,129,347,349,5325,131,351,353,5327,133,355,357,5329,135,359,361,5331,137,363,139,101,103,105
,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
,,5:10,5:35,,,6:24,6:45,,,7:36,7:57,,,8:48,,9:12,,,10:00,,10:24,,,11:12,,11:36,,,12:24,,12:48,,,13:36,,14:00,,,14:48,,15:12,,,16:00,16:21,,,17:12,17:33,,,18:24,18:45,,,19:36,19:57,,,20:48,21:09,,,22:00,22:21,,,23:12,23:33,,0:31,0:51,1:11,1:33
plzac,,,5:37,,,,6:47,,,,7:59,,,,,9:20,,,,,10:32,,,,,11:44,,,,,12:56,,,,,14:08,,,,,15:20,,,,16:23,,,,17:35,,,,18:47,,,,19:59,,,,21:11,,,,22:23,,,,23:35,,0:33,0:53,1:13,1:35
poles,,5:15,,,,6:29,,,,7:41,,,,8:53,,,,,10:05,,,,,11:17,,,,,12:29,,,,,13:41,,,,,14:53,,,,,16:05,,,,17:17,,,,18:29,,,,19:41,,,,20:53,,,,22:05,,,,23:17,,,,,,
milgr,,5:17,,,,6:31,,,,7:43,,,,8:55,,,,,10:07,,,,,11:19,,,,,12:31,,,,,13:43,,,,,14:55,,,,,16:07,,,,17:19,,,,18:31,,,,19:43,,,,20:55,,,,22:07,,,,23:19,,,,,,
kazim,,,5:40,,,,6:50,,,,8:02,,,,,9:23,,,,,10:35,,,,,11:47,,,,,12:59,,,,,14:11,,,,,15:23,,,,16:26,,,,17:38,,,,18:50,,,,20:02,,,,21:14,,,,22:26,,,,23:38,,0:36,0:56,1:16,1:38
brzoz,,,5:43,,,,6:53,,,,8:05,,,,,9:25,,,,,10:37,,,,,11:49,,,,,13:01,,,,,14:13,,,,,15:25,,,,16:29,,,,17:41,,,,18:53,,,,20:05,,,,21:17,,,,22:29,,,,23:41,,0:39,0:59,1:19,1:41
gmokr,,,5:45,,,,6:55,,,,8:07,,,,,9:35,,,,,10:47,,,,,11:59,,,,,13:11,,,,,14:23,,,,,15:35,,,,16:31,,,,17:43,,,,18:55,,,,20:07,,,,21:19,,,,22:31,,,,23:43,,0:41,1:01,1:21,1:43
gmpia,,,5:47,,,,6:57,,,,8:09,,,,,9:37,,,,,10:49,,,,,12:01,,,,,13:13,,,,,14:25,,,,,15:37,,,,16:33,,,,17:45,,,,18:57,,,,20:09,,,,21:21,,,,22:33,,,,23:45,,0:43,1:03,1:23,1:45
gmjor,,,5:49,,,,6:59,,,,8:11,,,,,9:42,,,,,10:54,,,,,12:06,,,,,13:18,,,,,14:30,,,,,15:42,,,,16:35,,,,17:47,,,,18:59,,,,20:11,,,,21:23,,,,22:35,,,,23:47,,0:45,1:05,1:25,1:47
gmrad,,,5:54,,,,7:04,,,,8:16,,,,,9:48,,,,,11:00,,,,,12:12,,,,,13:24,,,,,14:36,,,,,15:48,,,,16:40,,,,17:52,,,,19:04,,,,20:16,,,,21:28,,,,22:40,,,,23:52,,0:50,1:10,1:30,1:52
