,301,5301,103,305,5303,307,309,311,5305,107,315,317,5307,319,323,113,325,5309,327,331,333,159,337,341,5311,345,117,349,353,5313,357,119,361,365,5315,369,121,373,377,5317,381,123,385,389,5319,393,125,397,3001,3099,5321,3007,127,3011,3015,3017,5323,3021,129,3023,3027,5325,3029,3033,131,3035,3039,5327,3041,3045,133,3047,3051,5329,3053,3057,135,3059,3063,5331,3065,3069,137,3071,139,3075,5333,3079,3081,143,3085,145,3089,3091,5335,3093,149,151,153,3097,5337,155,157,101
,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
plwsc,5:08,,5:28,5:48,,6:03,6:18,6:33,,6:48,7:03,7:18,,7:36,7:54,8:06,8:18,,8:33,8:44,8:55,9:06,9:17,9:28,,9:43,9:58,10:13,10:28,,10:43,10:58,11:13,11:28,,11:43,11:58,12:13,12:28,,12:43,12:58,13:13,13:28,,13:43,13:58,14:10,14:22,14:32,,14:46,14:58,15:10,15:22,15:34,,15:46,15:58,16:10,16:22,,16:34,16:46,16:58,17:10,17:22,,17:34,17:46,17:58,18:10,18:22,,18:34,18:46,18:58,19:10,19:22,,19:34,19:46,19:58,20:10,20:22,20:34,,20:46,20:58,21:18,21:28,21:40,21:54,22:08,,22:23,22:36,22:58,23:20,23:43,,0:14,0:36,0:58
plglo,5:11,,5:31,5:51,,6:06,6:21,6:36,,6:51,7:06,7:21,,7:39,7:57,8:09,8:21,,8:36,8:47,8:58,9:09,9:20,9:31,,9:46,10:01,10:16,10:31,,10:46,11:01,11:16,11:31,,11:46,12:01,12:16,12:31,,12:46,13:01,13:16,13:31,,13:46,14:01,14:13,14:25,14:35,,14:49,15:01,15:13,15:25,15:37,,15:49,16:01,16:13,16:25,,16:37,16:49,17:01,17:13,17:25,,17:37,17:49,18:01,18:13,18:25,,18:37,18:49,19:01,19:13,19:25,,19:37,19:49,20:01,20:13,20:25,20:37,,20:49,21:01,21:21,21:31,21:43,21:57,22:11,,22:26,22:39,23:01,23:23,23:46,,0:17,0:39,1:01
,,5:17,5:34,,5:57,,,,6:42,6:54,,,7:27,,,8:12,,8:27,,,,9:12,,,9:37,,10:04,,,10:37,,11:04,,,11:37,,12:04,,,12:37,,13:04,,,13:37,,14:04,,,,14:45,,15:04,,,,15:43,,16:04,,,16:31,,,17:04,,,17:31,,,18:04,,,18:31,,,19:04,,,19:31,,,20:04,,20:28,,20:43,,,21:24,,21:46,,,22:17,,22:42,23:04,23:26,,23:52,0:20,0:42,1:04
plzac,,,5:36,,,,,,,6:56,,,,,,8:14,,,,,,9:14,,,,,10:06,,,,,11:06,,,,,12:06,,,,,13:06,,,,,14:06,,,,,,15:06,,,,,,16:06,,,,,,17:06,,,,,,18:06,,,,,,19:06,,,,,,20:06,,20:30,,,,,21:26,,21:48,,,,,22:44,23:06,23:28,,,0:22,0:44,1:06
poles,,5:22,,,6:02,,,,6:47,,,,7:32,,,,,8:32,,,,,,,9:42,,,,,10:42,,,,,11:42,,,,,12:42,,,,,13:42,,,,,,14:50,,,,,,15:48,,,,,16:36,,,,,,17:36,,,,,,18:36,,,,,,19:36,,,,,,,20:48,,,,,,,,22:22,,,,,,23:57,,,
milgr,,5:24,,,6:04,,,,6:49,,,,7:34,,,,,8:34,,,,,,,9:44,,,,,10:44,,,,,11:44,,,,,12:44,,,,,13:44,,,,,,14:52,,,,,,15:50,,,,,16:38,,,,,,17:38,,,,,,18:38,,,,,,19:38,,,,,,,20:50,,,,,,,,22:24,,,,,,23:59,,,
kazim,,,5:39,,,,,,,6:59,,,,,,8:17,,,,,,9:17,,,,,10:09,,,,,11:09,,,,,12:09,,,,,13:09,,,,,14:09,,,,,,15:09,,,,,,16:09,,,,,,17:09,,,,,,18:09,,,,,,19:09,,,,,,20:09,,20:33,,,,,21:29,,21:51,,,,,22:47,23:09,23:31,,,0:25,0:47,1:09
brzoz,,,5:42,,,,,,,7:02,,,,,,8:20,,,,,,9:20,,,,,10:12,,,,,11:12,,,,,12:12,,,,,13:12,,,,,14:12,,,,,,15:12,,,,,,16:12,,,,,,17:12,,,,,,18:12,,,,,,19:12,,,,,,20:12,,20:36,,,,,21:32,,21:54,,,,,22:50,23:12,23:34,,,0:28,0:50,1:12
gmokr,,,5:44,,,,,,,7:04,,,,,,8:22,,,,,,9:22,,,,,10:14,,,,,11:14,,,,,12:14,,,,,13:14,,,,,14:14,,,,,,15:14,,,,,,16:14,,,,,,17:14,,,,,,18:14,,,,,,19:14,,,,,,20:14,,20:38,,,,,21:34,,21:56,,,,,22:52,23:14,23:36,,,0:30,0:52,1:14
gmpia,,,5:46,,,,,,,7:06,,,,,,8:24,,,,,,9:24,,,,,10:16,,,,,11:16,,,,,12:16,,,,,13:16,,,,,14:16,,,,,,15:16,,,,,,16:16,,,,,,17:16,,,,,,18:16,,,,,,19:16,,,,,,20:16,,20:40,,,,,21:36,,21:58,,,,,22:54,23:16,23:38,,,0:32,0:54,1:16
gmjor,,,5:48,,,,,,,7:08,,,,,,8:26,,,,,,9:26,,,,,10:18,,,,,11:18,,,,,12:18,,,,,13:18,,,,,14:18,,,,,,15:18,,,,,,16:18,,,,,,17:18,,,,,,18:18,,,,,,19:18,,,,,,20:18,,20:42,,,,,21:38,,22:00,,,,,22:56,23:18,23:40,,,0:34,0:56,1:18
gmrad,,,5:53,,,,,,,7:13,,,,,,8:31,,,,,,9:31,,,,,10:23,,,,,11:23,,,,,12:23,,,,,13:23,,,,,14:23,,,,,,15:23,,,,,,16:23,,,,,,17:23,,,,,,18:23,,,,,,19:23,,,,,,20:23,,20:47,,,,,21:43,,22:05,,,,,23:01,23:23,23:45,,,0:39,1:01,1:23
