,1050,1052,3350,4000,1150,2050,1054,4002,5152,4004,5004,1152,2052,1056,4006,5154,4008,5008,1154,2054,1058,4010,5156,4012,5012,1156,2056,1060,4014,5158,4016,5016,1158,2058,1062,4018,5160,4020,5020,1160,2060,1064,4022,5162,4024,5024,1162,2062,1066,4026,5164,4028,5028,1164,2064,1068,4030,5166,4032,5032,1166,2066,1070,4034,5168,4036,5036,1168,2068,1072,4038,5170,4040,5040,1170,2070,1074,4042,5172,4044,5044,1172,2072,1076,4046,5174,4048,5048,1174,2074,1078,4050,5176,4052,5052,1176,2076,1080,4054,5178,4056,5556,1178,2350
plzac,3:46,4:11,4:31,4:51,,5:11,5:31,5:51,,6:11,,,6:31,6:51,7:11,,7:31,,,7:51,8:11,8:31,,8:51,,,9:11,9:31,9:51,,10:11,,,10:31,10:51,11:11,,11:31,,,11:51,12:11,12:31,,12:51,,,13:11,13:31,13:51,,14:11,,,14:31,14:51,15:11,,15:31,,,15:51,16:11,16:31,,16:51,,,17:11,17:31,17:51,,18:11,,,18:31,18:51,19:11,,19:31,,,19:51,20:11,20:31,,20:51,,,21:11,21:31,21:51,,22:11,,,22:31,22:51,23:11,,23:31,,,0:00
plglo,3:48,4:13,,4:53,,5:13,5:33,5:53,,6:13,,,6:33,6:53,7:13,,7:33,,,7:53,8:13,8:33,,8:53,,,9:13,9:33,9:53,,10:13,,,10:33,10:53,11:13,,11:33,,,11:53,12:13,12:33,,12:53,,,13:13,13:33,13:53,,14:13,,,14:33,14:53,15:13,,15:33,,,15:53,16:13,16:33,,16:53,,,17:13,17:33,17:53,,18:13,,,18:33,18:53,19:13,,19:33,,,19:53,20:13,20:33,,20:53,,,21:13,21:33,21:53,,22:13,,,22:33,22:53,23:13,,23:33,,,
,3:49,4:14,,4:54,,5:14,5:34,5:54,,6:14,,,6:34,6:54,7:14,,7:34,,,7:54,8:14,8:34,,8:54,,,9:14,9:34,9:54,,10:14,,,10:34,10:54,11:14,,11:34,,,11:54,12:14,12:34,,12:54,,,13:14,13:34,13:54,,14:14,,,14:34,14:54,15:14,,15:34,,,15:54,16:14,16:34,,16:54,,,17:14,17:34,17:54,,18:14,,,18:34,18:54,19:14,,19:34,,,19:54,20:14,20:34,,20:54,,,21:14,21:34,21:54,,22:14,,,22:34,22:54,23:14,,23:34,,,
plwsc,3:51,4:16,,4:56,,5:16,5:36,5:56,,6:16,,,6:36,6:56,7:16,,7:36,,,7:56,8:16,8:36,,8:56,,,9:16,9:36,9:56,,10:16,,,10:36,10:56,11:16,,11:36,,,11:56,12:16,12:36,,12:56,,,13:16,13:36,13:56,,14:16,,,14:36,14:56,15:16,,15:36,,,15:56,16:16,16:36,,16:56,,,17:16,17:36,17:56,,18:16,,,18:36,18:56,19:16,,19:36,,,19:56,20:16,20:36,,20:56,,,21:16,21:36,21:56,,22:16,,,22:36,22:56,23:16,,23:36,,,
otreb,3:53,4:18,,4:58,,5:18,5:38,5:58,,6:18,,,6:38,6:58,7:18,,7:38,,,7:58,8:18,8:38,,8:58,,,9:18,9:38,9:58,,10:18,,,10:38,10:58,11:18,,11:38,,,11:58,12:18,12:38,,12:58,,,13:18,13:38,13:58,,14:18,,,14:38,14:58,15:18,,15:38,,,15:58,16:18,16:38,,16:58,,,17:18,17:38,17:58,,18:18,,,18:38,18:58,19:18,,19:38,,,19:58,20:18,20:38,,20:58,,,21:18,21:38,21:58,,22:18,,,22:38,22:58,23:18,,23:38,,,
kanie,3:55,4:20,,5:00,,5:20,5:40,6:00,,6:20,,,6:40,7:00,7:20,,7:40,,,8:00,8:20,8:40,,9:00,,,9:20,9:40,10:00,,10:20,,,10:40,11:00,11:20,,11:40,,,12:00,12:20,12:40,,13:00,,,13:20,13:40,14:00,,14:20,,,14:40,15:00,15:20,,15:40,,,16:00,16:20,16:40,,17:00,,,17:20,17:40,18:00,,18:20,,,18:40,19:00,19:20,,19:40,,,20:00,20:20,20:40,,21:00,,,21:20,21:40,22:00,,22:20,,,22:40,23:00,23:20,,23:40,,,
nwwar,3:57,4:22,,5:02,,5:22,5:42,6:02,,6:22,,,6:42,7:02,7:22,,7:42,,,8:02,8:22,8:42,,9:02,,,9:22,9:42,10:02,,10:22,,,10:42,11:02,11:22,,11:42,,,12:02,12:22,12:42,,13:02,,,13:22,13:42,14:02,,14:22,,,14:42,15:02,15:22,,15:42,,,16:02,16:22,16:42,,17:02,,,17:22,17:42,18:02,,18:22,,,18:42,19:02,19:22,,19:42,,,20:02,20:22,20:42,,21:02,,,21:22,21:42,22:02,,22:22,,,22:42,23:02,23:22,,23:42,,,
komor,4:00,4:25,,5:05,,5:25,5:45,6:05,,6:25,,,6:45,7:05,7:25,,7:45,,,8:05,8:25,8:45,,9:05,,,9:25,9:45,10:05,,10:25,,,10:45,11:05,11:25,,11:45,,,12:05,12:25,12:45,,13:05,,,13:25,13:45,14:05,,14:25,,,14:45,15:05,15:25,,15:45,,,16:05,16:25,16:45,,17:05,,,17:25,17:45,18:05,,18:25,,,18:45,19:05,19:25,,19:45,,,20:05,20:25,20:45,,21:05,,,21:25,21:45,22:05,,22:25,,,22:45,23:05,23:25,,23:45,,,
,4:02,4:27,,,,,5:47,,6:12,,6:34,,,7:07,,7:32,,7:54,,,8:27,,8:52,,9:14,,,9:47,,10:12,,10:34,,,11:07,,11:32,,11:54,,,12:27,,12:52,,13:14,,,13:47,,14:12,,14:34,,,15:07,,15:32,,15:54,,,16:27,,16:52,,17:14,,,17:47,,18:12,,18:34,,,19:07,,19:32,,19:54,,,20:27,,20:52,,21:14,,,21:47,,22:12,,22:34,,,23:07,,23:32,,23:54,,
prusz,4:04,4:29,,,,,5:49,,,,,,,7:09,,,,,,,8:29,,,,,,,9:49,,,,,,,11:09,,,,,,,12:29,,,,,,,13:49,,,,,,,15:09,,,,,,,16:29,,,,,,,17:49,,,,,,,19:09,,,,,,,20:29,,,,,,,21:49,,,,,,,23:09,,,,,,
prusp,,,,,,,,,,,6:50,,,,,,,8:10,,,,,,,9:30,,,,,,,10:50,,,,,,,12:10,,,,,,,13:30,,,,,,,14:50,,,,,,,16:10,,,,,,,17:30,,,,,,,18:50,,,,,,,20:10,,,,,,,21:30,,,,,,,22:50,,,,,,,0:10,,
twork,4:06,4:31,,,,,5:51,,,,7:03,,,7:11,,,,8:23,,,8:31,,,,9:43,,,9:51,,,,11:03,,,11:11,,,,12:23,,,12:31,,,,13:43,,,13:51,,,,15:03,,,15:11,,,,16:23,,,16:31,,,,17:43,,,17:51,,,,19:03,,,19:11,,,,20:23,,,20:31,,,,21:43,,,21:51,,,,23:03,,,23:11,,,,,,
malic,4:08,4:33,,,,,5:53,,,,7:05,,,7:13,,,,8:25,,,8:33,,,,9:45,,,9:53,,,,11:05,,,11:13,,,,12:25,,,12:33,,,,13:45,,,13:53,,,,15:05,,,15:13,,,,16:25,,,16:33,,,,17:45,,,17:53,,,,19:05,,,19:13,,,,20:25,,,20:33,,,,21:45,,,21:53,,,,23:05,,,23:13,,,,,,
regul,4:10,4:35,,,,,5:55,,6:27,,,,,7:15,,7:47,,,,,8:35,,9:07,,,,,9:55,,10:27,,,,,11:15,,11:47,,,,,12:35,,13:07,,,,,13:55,,14:27,,,,,15:15,,15:47,,,,,16:35,,17:07,,,,,17:55,,18:27,,,,,19:15,,19:47,,,,,20:35,,21:07,,,,,21:55,,22:27,,,,,23:15,,23:47,,,,
,4:10,4:35,,,5:15,,5:55,,,,,6:35,,7:15,,,,,7:55,,8:35,,,,,9:15,,9:55,,,,,10:35,,11:15,,,,,11:55,,12:35,,,,,13:15,,13:55,,,,,14:35,,15:15,,,,,15:55,,16:35,,,,,17:15,,17:55,,,,,18:35,,19:15,,,,,19:55,,20:35,,,,,21:15,,21:55,,,,,22:35,,23:15,,,,,23:55,
micha,4:13,4:38,,,5:18,,5:58,,,,,6:38,,7:18,,,,,7:58,,8:38,,,,,9:18,,9:58,,,,,10:38,,11:18,,,,,11:58,,12:38,,,,,13:18,,13:58,,,,,14:38,,15:18,,,,,15:58,,16:38,,,,,17:18,,17:58,,,,,18:38,,19:18,,,,,19:58,,20:38,,,,,21:18,,21:58,,,,,22:38,,23:18,,,,,23:58,
opacz,4:15,4:40,,,5:20,,6:00,,,,,6:40,,7:20,,,,,8:00,,8:40,,,,,9:20,,10:00,,,,,10:40,,11:20,,,,,12:00,,12:40,,,,,13:20,,14:00,,,,,14:40,,15:20,,,,,16:00,,16:40,,,,,17:20,,18:00,,,,,18:40,,19:20,,,,,20:00,,20:40,,,,,21:20,,22:00,,,,,22:40,,23:20,,,,,0:00,
wsalo,4:17,4:42,,,5:22,,6:02,,,,,6:42,,7:22,,,,,8:02,,8:42,,,,,9:22,,10:02,,,,,10:42,,11:22,,,,,12:02,,12:42,,,,,13:22,,14:02,,,,,14:42,,15:22,,,,,16:02,,16:42,,,,,17:22,,18:02,,,,,18:42,,19:22,,,,,20:02,,20:42,,,,,21:22,,22:02,,,,,22:42,,23:22,,,,,0:02,
wrako,4:19,4:44,,,5:24,,6:04,,,,,6:44,,7:24,,,,,8:04,,8:44,,,,,9:24,,10:04,,,,,10:44,,11:24,,,,,12:04,,12:44,,,,,13:24,,14:04,,,,,14:44,,15:24,,,,,16:04,,16:44,,,,,17:24,,18:04,,,,,18:44,,19:24,,,,,20:04,,20:44,,,,,21:24,,22:04,,,,,22:44,,23:24,,,,,0:04,
walje,4:22,4:47,,,5:27,,6:07,,,,,6:47,,7:27,,,,,8:07,,8:47,,,,,9:27,,10:07,,,,,10:47,,11:27,,,,,12:07,,12:47,,,,,13:27,,14:07,,,,,14:47,,15:27,,,,,16:07,,16:47,,,,,17:27,,18:07,,,,,18:47,,19:27,,,,,20:07,,20:47,,,,,21:27,,22:07,,,,,22:47,,23:27,,,,,0:07,
wreor,4:28,4:53,,,5:33,,6:13,,,,,6:53,,7:33,,,,,8:13,,8:53,,,,,9:33,,10:13,,,,,10:53,,11:33,,,,,12:13,,12:53,,,,,13:33,,14:13,,,,,14:53,,15:33,,,,,16:13,,16:53,,,,,17:33,,18:13,,,,,18:53,,19:33,,,,,20:13,,20:53,,,,,21:33,,22:13,,,,,22:53,,23:33,,,,,0:13,
wzach,4:31,4:56,,,5:36,,6:16,,,,,6:56,,7:36,,,,,8:16,,8:56,,,,,9:36,,10:16,,,,,10:56,,11:36,,,,,12:16,,12:56,,,,,13:36,,14:16,,,,,14:56,,15:36,,,,,16:16,,16:56,,,,,17:36,,18:16,,,,,18:56,,19:36,,,,,20:16,,20:56,,,,,21:36,,22:16,,,,,22:56,,23:36,,,,,0:16,
wocho,4:34,4:59,,,5:39,,6:19,,,,,6:59,,7:39,,,,,8:19,,8:59,,,,,9:39,,10:19,,,,,10:59,,11:39,,,,,12:19,,12:59,,,,,13:39,,14:19,,,,,14:59,,15:39,,,,,16:19,,16:59,,,,,17:39,,18:19,,,,,18:59,,19:39,,,,,20:19,,20:59,,,,,21:39,,22:19,,,,,22:59,,23:39,,,,,0:19,
wsrod,4:36,5:01,,,5:41,,6:21,,,,,7:01,,7:41,,,,,8:21,,9:01,,,,,9:41,,10:21,,,,,11:01,,11:41,,,,,12:21,,13:01,,,,,13:41,,14:21,,,,,15:01,,15:41,,,,,16:21,,17:01,,,,,17:41,,18:21,,,,,19:01,,19:41,,,,,20:21,,21:01,,,,,21:41,,22:21,,,,,23:01,,23:41,,,,,0:21,
